title,url,duration_seconds
"Introduction to Physics - Newton's Laws","https://www.youtube.com/watch?v=kHSJk8R0H_Q",420
"Chemistry Basics - Periodic Table","https://www.youtube.com/watch?v=VgOXJmd4JgI",360
"Mathematics - Calculus Fundamentals","https://www.youtube.com/watch?v=WUvTyaaNkzM",540
"Biology - Cell Structure","https://www.youtube.com/watch?v=URUJD5NEXC8",300
"Computer Science - Algorithms","https://www.youtube.com/watch?v=8hly31xKli0",480
"History - Ancient Civilizations","https://www.youtube.com/watch?v=xBfhLBPPPPk",600
"Geography - Continental Drift","https://www.youtube.com/watch?v=T1-cES1Ekto",240
"English Literature - Shakespeare","https://www.youtube.com/watch?v=dRrvQ1vZxcg",450
"Economics - Supply and Demand","https://www.youtube.com/watch?v=g9aDizJpd_s",330
"Psychology - Human Behavior","https://www.youtube.com/watch?v=vo4pMVb0R6M",510
